Systemization - Subsystem (Summary),Subsystem ID,Systemization - Process Plant ID,Physical Location - Area (Summary),Asset Discipline,Discipline
PS5-82-07 - Guard Huts,PS5-82-07,EACOP,PS5 - TZA - PS5 - Tanzania,B,B
PS5-99-01 - Area Completion for Building area,PS5-99-01,EACOP,PS5 - TZA - PS5 - Tanzania,B,B
PS5-99-05 - Area Completion for CFO area,PS5-99-05,EACOP,PS5 - TZA - PS5 - Tanzania,B,B
PS5-99-03 - Area Completion for Power Distribution area,PS5-99-03,EACOP,PS5 - TZA - PS5 - Tanzania,B,B
PS5-99-06 - Area Completion for Power Generation area,PS5-99-06,EACOP,PS5 - TZA - PS5 - Tanzania,B,B
PS5-99-04 - Area Completion for Process area,PS5-99-04,EACOP,PS5 - TZA - PS5 - Tanzania,B,B
PS5-99-02 - Area Completion for Utility area,PS5-99-02,EACOP,PS5 - TZA - PS5 - Tanzania,B,B
PS5-83-01 - EITS Building,PS5-83-01,EACOP,PS5 - COW - PS5 - Tanzania,B,B
PS5-82-05 - Office and Facilities building,PS5-82-05,EACOP,PS5 - TZA - PS5 - Tanzania,B,B
PS5-82-06 - Guard House Building,PS5-82-06,EACOP,PS5 - TZA - PS5 - Tanzania,B,B
PS5-84-02 - Workshop & Warehouse,PS5-84-02,EACOP,PS5 - TZA - PS5 - Tanzania,B,B
PS5-84-03 - Shelters,PS5-84-03,EACOP,PS5 - TZA - PS5 - Tanzania,B,B
PS5-84-01 - Generator Building,PS5-84-01,EACOP,PS5 - TZA - PS5 - Tanzania,B,B
PS5-86-01 - Shelters,PS5-86-01,EACOP,PS5 - TZA - PS5 - Tanzania,B,B
PS5-61-02 - 6.6kV Switchboard and Transformer LLHT North - EITS Building (PS5-61-IJ-0010),PS5-61-02,EACOP,PS5 - COW - PS5 - Tanzania,E,E
PS5-61-03 - 6.6kV Switchboard and Transformer LLHT South - EITS Building (PS5-61-IJ-0011),PS5-61-03,EACOP,PS5 - COW - PS5 - Tanzania,E,E
PS5-61-01 - 33kV Switchboard EITS Building (PS5-61-IJ-0001),PS5-61-01,EACOP,PS5 - COW - PS5 - Tanzania,E,E
PS5-61-07 - 0.4kV Switchboard EITS Building (PS5-61-IK-0001),PS5-61-07,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-25-02 - Crude Oil Export Pump A,PS5-25-02,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-25-03 - Crude Oil Export Pump B,PS5-25-03,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-25-04 - Crude Oil Export Pump C,PS5-25-04,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-01 - Power Generation Package A,PS5-60-01,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-04 - Power Generation Package B,PS5-60-04,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-07 - Power Generation Package C,PS5-60-07,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-10 - Power Generation Package D,PS5-60-10,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-13 - Power Generation Package E,PS5-60-13,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-16 - Power Generation Package F,PS5-60-16,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-19 - Power Generation Package G,PS5-60-19,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-79-01 - Electrical Heat Tracing Transformer/Distribution Board 1 (PS5-79-IG-0001),PS5-79-01,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-79-02 - Electrical Heat Tracing Transformer/Distribution Board 2 (PS5-79-IG-0002),PS5-79-02,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-79-03 - Electrical Heat Tracing Transformer/Distribution Board 3 (PS5-79-IG-0003),PS5-79-03,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-79-04 - Electrical Heat Tracing Transformer/Distribution Board 4 (PS5-79-IG-0004),PS5-79-04,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-79-05 - Electrical Heat Tracing Transformer/Distribution Board 5 (PS5-79-IG-0005),PS5-79-05,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-79-06 - Electrical Heat Tracing Transformer/Distribution Board 6 (PS5-79-IG-0006),PS5-79-06,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-79-07 - Electrical Heat Tracing Transformer/Distribution Board 7 (PS5-79-IG-0007),PS5-79-07,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-79-08 - Electrical Heat Tracing Transformer/Distribution Board 8 (PS5-79-IG-0008),PS5-79-08,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-79-09 - Electrical Heat Tracing Transformer/Distribution Board 9 (PS5-79-IG-0009),PS5-79-09,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-79-10 - Electrical Heat Tracing Transformer/Distribution Board 10 (PS5-79-IG-0010),PS5-79-10,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-79-11 - Electrical Heat Tracing Transformer/Distribution Board 11 (PS5-79-IG-0011),PS5-79-11,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-79-12 - Electrical Heat Tracing Transformer/Distribution Board 12 (PS5-79-IG-0012),PS5-79-12,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-53-01 - Utility Water / Storage Tank,PS5-53-01,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-71-04 - CFO Storage Tank,PS5-71-04,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-71-12 - CFO Service Tank,PS5-71-12,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-71-15 - Diesel Fuel Storage Tank,PS5-71-15,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-61-05 - 0.4kV Switchboard Power Generator Building (PS5-61-IK-0003),PS5-61-05,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
